;0;1;2;3;4;5;6;7;8;9
0;2.7;2.1;4.8;22.9;2.7;17.7;28.3;2.7;17.7;65.3
1;16.1;6.9;32.8;28.7;7.7;42.4;39.9;7.7;73.1;59.0
2;-1.5;25.3;2.4;20.2;38.0;74.0;25.3;1.2;-1.2;-1.2
3;9.8;17.3;4.7;21.2;-0.2;1.6;28.3;-1.4;0.4;5.9
4;-0.5;11.7;20.7;4.2;7.4;-0.2;0.9;13.5;-0.2;0.0
5;13.5;12.5;19.2;19.6;19.2;6.9;19.6;12.3;6.9;56.4
6;0.5;3.9;6.9;16.8;0.5;0.4;16.8;0.5;0.4;78.5
7;22.7;16.5;19.6;11.5;9.7;9.9;11.5;6.9;7.1;-2.8
8;7.2;3.2;12.0;24.6;-1.2;5.5;24.6;-1.2;4.3;-1.2
9;11.9;2.5;10.8;2.9;0.0;0.0;2.9;0.0;0.0;0.0
10;4.3;0.0;4.3;0.2;4.3;-0.2;1.5;7.2;0.2;3.3
11;1.1;11.5;1.0;1.1;49.0;2.8;1.1;78.0;1.0;49.0
12;1.5;13.0;5.2;0.8;58.5;5.2;1.5;69.2;5.2;58.5
13;0.9;-1.8;-1.8;0.6;0.0;-1.8;0.6;0.0;-1.8;92.7
14;0.2;16.3;17.5;0.2;77.1;17.5;0.0;25.6;17.5;25.6
15;19.8;9.5;10.1;9.5;2.9;8.6;9.5;2.9;8.6;96.6
16;0.7;0.7;4.1;0.7;32.0;2.3;0.7;71.8;4.1;32.0
17;8.1;6.5;6.5;8.1;73.7;6.5;8.1;73.7;6.5;73.7
18;0.8;27.1;14.3;0.8;70.0;14.3;0.8;70.0;14.3;70.0
19;1.1;19.7;0.0;1.1;71.9;0.0;1.1;71.9;0.0;71.9
20;18.3;22.9;5.0;2.0;5.0;5.0;2.0;5.0;5.0;81.0
21;23.5;7.1;8.4;4.6;-1.3;9.7;4.6;-1.3;9.7;71.1
22;16.2;0.0;18.2;0.0;18.2;0.0;0.0;18.2;0.0;0.9
23;1.7;3.6;6.7;3.6;6.7;86.8;10.3;6.3;7.5;7.5
24;34.9;27.5;5.2;0.0;0.0;5.2;0.0;0.0;5.6;0.9
25;2.5;2.5;2.5;21.2;30.1;-0.7;2.3;-2.4;2.5;0.0
26;0.9;0.9;4.2;0.9;60.0;0.0;0.9;82.5;4.2;60.0
27;7.4;21.1;25.1;2.2;13.9;23.7;10.1;1.4;17.2;41.6
28;16.7;16.5;1.0;2.3;4.1;-0.2;2.3;0.0;1.0;49.1
29;34.1;34.7;16.6;0.0;12.2;4.4;0.0;20.8;13.0;11.8
30;15.5;15.5;104.6;15.5;55.9;55.9;15.5;104.6;104.6;55.9
31;16.5;15.1;15.1;90.0;16.5;15.1;90.0;16.5;15.1;90.0
32;5.7;0.0;0.0;0.4;0.0;0.0;0.4;1.8;0.0;19.1
33;31.8;0.0;1.9;17.5;0.0;14.2;74.2;31.8;0.0;17.5
34;2.1;0.0;2.1;94.9;2.1;0.0;94.9;2.1;0.0;94.9
35;14.9;13.5;10.0;1.0;10.0;12.5;1.0;10.0;10.0;57.8
