combinacao;soma
[6 DS] - Desarme x [2 G] - Gol;6.856823724595122
[7 FT] - Finalização na Trave x [2 G] - Gol;4.942714968653738
[7 FT] - Finalização na Trave x [6 DS] - Desarme;3.2185732460532672
[13 A] - Assistência x [2 G] - Gol;4.605357685342208
[13 A] - Assistência x [6 DS] - Desarme;4.496081503650176
[13 A] - Assistência x [7 FT] - Finalização na Trave;7.831187689487916
[16 PP] - Pênalti Perdido x [2 G] - Gol;3.1279017611774815
[16 PP] - Pênalti Perdido x [6 DS] - Desarme;6.1093576928359195
[16 PP] - Pênalti Perdido x [7 FT] - Finalização na Trave;9.730065219933644
[16 PP] - Pênalti Perdido x [13 A] - Assistência;2.6497487748689106
