;0;1;2;3;4;5;6;7;8;9
0;2.6;4.0;0.0;2.6;49.2;0.0;2.6;52.5;0.0;49.2
1;3.0;3.0;30.7;3.0;30.7;70.0;3.0;30.7;70.0;70.0
2;5.4;1.5;26.9;5.4;53.0;32.6;6.9;56.7;36.6;63.1
3;1.0;52.1;1.0;52.1;1.0;52.1;52.1;1.0;52.1;52.1
4;3.8;12.6;13.9;8.8;8.2;47.4;13.6;14.4;1.0;1.0
5;-2.1;1.6;2.8;-2.9;2.8;2.8;-2.9;2.8;2.8;51.1
6;0.0;9.3;37.2;0.3;37.5;48.2;0.3;37.5;48.2;54.9
7;10.0;-2.9;9.0;2.7;11.6;31.6;2.8;11.7;31.6;0.1
8;6.3;6.3;28.9;6.3;42.0;43.9;15.1;45.0;48.2;8.8
9;4.3;1.8;9.2;0.0;11.5;28.3;0.0;11.5;28.3;0.0
10;0.3;0.3;5.2;0.3;5.2;38.8;0.3;5.2;38.8;42.4
11;5.0;22.8;5.0;29.1;5.0;7.5;0.0;5.0;22.8;0.0
12;2.2;20.5;1.2;31.9;2.2;14.0;-7.9;2.2;-4.0;-7.9
13;11.0;15.1;1.0;0.0;1.0;41.0;5.4;3.2;2.2;13.9
14;4.0;2.3;0.0;11.1;0.0;0.0;11.1;0.0;0.0;58.5
15;6.1;6.0;2.3;1.6;2.3;6.5;1.6;2.3;6.5;-1.5
16;27.0;18.7;0.1;18.3;0.1;14.7;14.2;0.1;14.7;43.8
17;1.6;8.8;0.0;1.0;0.0;7.2;1.0;0.0;7.2;53.7
18;10.1;-1.0;0.0;2.8;0.0;28.3;2.8;0.0;28.3;58.2
19;22.7;9.6;0.0;2.6;0.0;15.2;5.4;0.0;18.5;3.3
20;11.0;0.0;0.0;7.6;0.0;0.0;6.5;0.0;0.0;7.9
21;29.8;-1.6;4.9;5.1;0.0;5.1;0.0;12.0;7.1;5.1
22;9.3;6.2;0.0;8.4;0.0;6.2;9.9;0.0;6.2;16.4
23;18.1;8.4;1.0;2.3;1.0;31.9;8.1;1.0;40.9;0.0
24;27.9;3.3;0.0;0.9;0.0;33.7;1.1;5.3;14.0;39.0
25;52.5;1.1;1.1;32.7;32.7;1.1;25.2;25.2;1.1;16.1
26;18.5;3.1;0.0;3.0;0.0;0.0;3.0;9.4;9.4;4.1
27;0.0;59.8;0.0;54.2;0.0;54.2;-1.1;0.0;-1.1;-1.5
28;5.3;3.8;0.0;0.0;0.0;39.6;0.0;0.0;39.6;68.0
29;18.6;9.0;0.0;4.1;0.0;19.4;3.5;0.0;-2.9;18.3
30;0.0;0.0;0.0;39.4;0.0;0.0;18.2;0.0;0.0;3.9
31;3.2;3.2;0.0;3.2;60.2;0.0;3.2;60.2;0.0;60.2
32;10.2;15.0;0.0;4.8;0.0;0.0;8.6;0.0;0.8;0.0
33;60.3;0.0;0.0;44.0;44.0;0.0;17.0;17.0;0.3;47.5
34;0.0;1.0;1.0;0.0;41.0;1.0;8.9;15.3;1.0;11.1
35;0.0;0.0;0.0;33.1;0.0;0.0;-1.2;0.0;0.0;64.1
