combinacao;soma
[2 G] - Gol x [1 FS] - Falta Sofrida;10.11205056860982
[3 PI] - Passe Incompleto x [1 FS] - Falta Sofrida;6.297886262336659
[3 PI] - Passe Incompleto x [2 G] - Gol;3.9561544326877263
[13 A] - Assistência x [1 FS] - Falta Sofrida;1.0832734317298582
[13 A] - Assistência x [2 G] - Gol;5.8161753230067905
[13 A] - Assistência x [3 PI] - Passe Incompleto;4.552625356283507
[16 PP] - Pênalti Perdido x [1 FS] - Falta Sofrida;10.341212546247245
[16 PP] - Pênalti Perdido x [2 G] - Gol;2.1830173754698925
[16 PP] - Pênalti Perdido x [3 PI] - Passe Incompleto;4.77110029285815
[16 PP] - Pênalti Perdido x [13 A] - Assistência;8.95175309119359
