;0;1;2;3;4;5;6;7;8;9
0;5.1;5.9;20.8;28.5;14.9;5.9;-3.8;14.9;2.1;-3.8
1;15.2;51.8;28.3;28.6;43.0;54.5;48.2;4.1;54.9;4.1
2;11.7;33.6;19.8;33.6;19.8;76.0;2.5;21.5;2.5;76.0
3;0.0;9.6;2.4;5.0;54.4;2.4;6.5;1.5;3.9;1.5
4;4.0;8.9;8.9;6.0;47.7;18.5;6.0;-0.6;7.3;-0.6
5;10.8;3.6;13.1;10.8;10.8;3.2;10.8;10.8;3.2;67.1
6;43.7;7.6;8.0;53.9;52.3;3.2;53.9;52.3;3.2;96.5
7;5.2;15.2;23.7;5.2;15.9;7.2;5.2;0.0;7.2;0.0
8;30.8;4.4;10.0;43.2;37.5;-0.1;0.9;0.9;0.8;0.9
9;0.0;3.0;2.4;8.6;40.7;2.9;8.6;-1.5;1.4;-1.5
10;3.8;0.0;-0.1;3.8;30.5;-0.1;3.8;4.2;4.1;4.2
11;7.7;7.4;14.8;2.2;20.6;5.2;7.7;0.0;5.2;0.0
12;3.0;6.5;2.7;4.5;45.0;9.9;4.9;54.8;2.0;0.4
13;3.7;26.8;19.1;3.7;45.8;19.2;4.1;45.8;19.6;0.4
14;0.0;4.1;14.3;3.7;3.9;20.2;3.7;3.9;20.2;0.0
15;5.5;8.0;0.0;8.0;18.7;0.0;8.0;18.7;-1.1;-1.1
16;1.6;3.6;0.0;3.6;19.0;0.0;3.6;19.0;0.0;33.7
17;0.0;8.7;11.6;0.0;2.7;12.0;0.0;2.7;12.0;64.1
18;0.8;10.9;23.2;0.8;25.9;-4.6;0.8;25.9;-4.6;69.8
19;4.4;17.7;26.7;4.4;32.1;0.0;4.4;32.1;4.4;4.4
20;0.0;22.8;12.0;0.3;0.0;4.2;0.3;0.0;6.8;2.6
21;0.0;1.9;-1.2;0.0;26.1;-0.6;5.3;29.1;4.7;5.3
22;0.0;5.5;6.8;1.9;3.2;3.6;1.9;3.2;3.6;0.0
23;2.7;2.7;29.9;2.7;29.9;63.3;6.7;4.0;4.0;4.0
24;3.9;2.6;1.1;3.9;34.6;1.7;11.7;1.4;3.1;1.4
25;0.1;2.0;14.4;50.8;0.0;4.6;8.7;0.8;5.8;8.7
26;0.0;3.6;0.0;3.6;0.2;4.5;3.6;0.2;4.5;0.0
27;1.0;11.9;6.6;1.0;38.9;23.8;2.2;1.2;7.8;38.9
28;5.9;5.9;1.0;5.9;27.5;1.2;5.9;27.5;1.2;52.5
29;0.3;0.3;0.0;0.3;31.0;0.0;0.3;-2.0;-2.0;-2.0
30;0.0;2.5;0.0;2.5;0.0;61.6;2.5;0.0;0.0;61.6
31;0.0;2.9;9.6;57.0;0.0;2.9;57.0;0.0;2.9;57.0
32;0.0;10.5;9.6;0.0;0.0;9.6;4.8;0.0;14.4;4.8
33;0.8;7.3;12.6;55.8;0.8;5.1;-3.4;0.8;7.3;-3.4
34;0.3;5.6;28.8;75.7;0.3;5.6;0.0;0.3;5.6;0.0
35;0.0;17.4;22.4;0.8;0.9;6.3;0.8;0.9;6.3;47.6
