;0;1;2;3;4;5;6;7;8;9
0;28.38;28.38;28.38;28.38;28.38;28.38;28.38;28.38;28.38;28.38
1;40.77;40.77;40.77;40.77;40.77;40.77;40.77;40.77;40.77;40.77
2;33.83;33.83;33.83;33.83;33.83;33.83;33.83;33.83;33.83;33.83
3;35.81;35.81;35.81;35.81;35.81;35.81;35.81;35.81;35.81;35.81
4;32.79;32.79;32.79;32.79;32.79;32.79;32.79;32.79;32.79;32.79
5;35.13;35.13;35.13;35.13;35.13;35.13;35.13;35.13;35.13;35.13
6;34.93;34.93;34.93;34.93;34.93;34.93;34.93;34.93;34.93;34.93
7;30.49;30.49;30.49;30.49;30.49;30.49;30.49;30.49;30.49;30.49
8;35.49;35.49;35.49;35.49;35.49;35.49;35.49;35.49;35.49;35.49
9;29.9;29.9;29.9;29.9;29.9;29.9;29.9;29.9;29.9;29.9
10;34.83;34.83;34.83;34.83;34.83;34.83;34.83;34.83;34.83;34.83
11;29.42;29.42;29.42;29.42;29.42;29.42;29.42;29.42;29.42;29.42
12;24.94;24.94;24.94;24.94;24.94;24.94;24.94;24.94;24.94;24.94
13;38.64;38.64;38.64;38.64;38.64;38.64;38.64;38.64;38.64;38.64
14;34.73;34.73;34.73;34.73;34.73;34.73;34.73;34.73;34.73;34.73
15;29.94;29.94;29.94;29.94;29.94;29.94;29.94;29.94;29.94;29.94
16;37.44;37.44;37.44;37.44;37.44;37.44;37.44;37.44;37.44;37.44
17;32.0;32.0;32.0;32.0;32.0;32.0;32.0;32.0;32.0;32.0
18;30.85;30.85;30.85;30.85;30.85;30.85;30.85;30.85;30.85;30.85
19;33.72;33.72;33.72;33.72;33.72;33.72;33.72;33.72;33.72;33.72
20;34.84;34.84;34.84;34.84;34.84;34.84;34.84;34.84;34.84;34.84
21;30.97;30.97;30.97;30.97;30.97;30.97;30.97;30.97;30.97;30.97
22;33.38;33.38;33.38;33.38;33.38;33.38;33.38;33.38;33.38;33.38
23;35.93;35.93;35.93;35.93;35.93;35.93;35.93;35.93;35.93;35.93
24;38.99;38.99;38.99;38.99;38.99;38.99;38.99;38.99;38.99;38.99
25;32.85;32.85;32.85;32.85;32.85;32.85;32.85;32.85;32.85;32.85
26;38.39;38.39;38.39;38.39;38.39;38.39;38.39;38.39;38.39;38.39
27;36.5;36.5;36.5;36.5;36.5;36.5;36.5;36.5;36.5;36.5
28;39.67;39.67;39.67;39.67;39.67;39.67;39.67;39.67;39.67;39.67
29;32.38;32.38;32.38;32.38;32.38;32.38;32.38;32.38;32.38;32.38
30;42.19;42.19;42.19;42.19;42.19;42.19;42.19;42.19;42.19;42.19
31;34.59;34.59;34.59;34.59;34.59;34.59;34.59;34.59;34.59;34.59
32;36.14;36.14;36.14;36.14;36.14;36.14;36.14;36.14;36.14;36.14
33;36.16;36.16;36.16;36.16;36.16;36.16;36.16;36.16;36.16;36.16
34;34.63;34.63;34.63;34.63;34.63;34.63;34.63;34.63;34.63;34.63
35;36.46;36.46;36.46;36.46;36.46;36.46;36.46;36.46;36.46;36.46
