combinacao;soma
[3 PI] - Passe Incompleto x [2 G] - Gol;0.0
[7 FT] - Finalização na Trave x [2 G] - Gol;36.0
[7 FT] - Finalização na Trave x [3 PI] - Passe Incompleto;36.0
[13 A] - Assistência x [2 G] - Gol;36.0
[13 A] - Assistência x [3 PI] - Passe Incompleto;36.0
[13 A] - Assistência x [7 FT] - Finalização na Trave;36.0
[16 PP] - Pênalti Perdido x [2 G] - Gol;36.0
[16 PP] - Pênalti Perdido x [3 PI] - Passe Incompleto;36.0
[16 PP] - Pênalti Perdido x [7 FT] - Finalização na Trave;36.0
[16 PP] - Pênalti Perdido x [13 A] - Assistência;36.0
