;0;1;2;3;4;5;6;7;8;9
0;0.0;10.5;4.8;17.9;18.8;13.1;0.0;42.9;4.8;18.8
1;0.0;-2.5;0.0;8.8;3.7;11.8;40.6;0.0;-2.5;8.8
2;32.0;0.0;0.0;-2.0;-2.0;-5.1;43.1;40.6;0.0;-2.0
3;34.5;2.2;3.3;1.3;6.0;3.5;37.6;36.3;2.2;1.3
4;5.0;12.3;17.7;-0.1;6.6;0.1;53.9;5.0;12.3;0.1
5;0.0;14.2;10.1;4.3;5.5;6.9;1.0;5.5;4.6;-0.8
6;5.5;12.0;45.7;26.6;23.7;7.2;26.6;10.9;9.1;-0.6
7;16.7;-1.4;10.3;0.0;3.7;2.3;33.1;20.4;-1.4;3.1
8;14.2;6.1;21.3;26.1;18.5;10.2;23.7;14.2;5.1;12.9
9;37.5;7.9;6.4;0.0;11.4;8.5;59.1;38.5;6.3;0.0
10;0.0;0.0;8.5;13.5;5.0;1.2;40.8;0.0;0.0;14.3
11;9.2;1.8;13.2;43.0;9.2;1.8;43.0;9.2;0.0;52.2
12;15.7;0.2;15.5;34.8;15.7;-0.6;34.8;15.7;-0.6;41.7
13;22.7;0.1;5.7;1.5;1.3;1.6;42.2;27.8;0.1;0.2
14;0.0;8.3;0.1;8.7;1.2;1.2;0.0;0.0;1.2;1.2
15;7.2;-0.6;1.3;2.8;4.1;4.1;10.6;7.2;0.0;2.8
16;0.0;3.5;2.7;3.5;6.4;3.5;20.8;0.0;3.5;3.5
17;5.5;18.6;9.2;10.3;14.7;0.0;5.5;5.5;0.0;0.0
18;0.0;-1.1;2.1;-1.1;-1.9;-1.1;6.0;0.0;-1.1;-1.1
19;9.9;0.6;12.9;0.6;11.8;0.6;34.0;9.9;0.6;0.6
20;11.6;20.7;0.5;35.9;0.2;8.8;11.6;44.2;9.3;0.2
21;19.7;0.0;3.2;-3.0;27.7;-3.0;27.1;27.7;0.0;-3.0
22;9.7;11.9;0.0;5.7;0.0;1.1;9.7;24.8;0.0;0.0
23;9.5;0.0;0.7;7.9;4.5;0.7;16.5;5.7;0.0;0.7
24;14.3;0.0;1.0;6.3;35.7;6.3;35.6;29.8;0.0;6.3
25;0.0;5.5;2.8;12.0;17.8;0.0;5.5;0.0;0.0;0.0
26;4.7;13.7;2.2;18.5;2.2;2.2;4.7;45.0;2.2;2.2
27;0.0;2.0;8.6;2.0;3.7;2.0;55.7;0.0;2.0;2.0
28;14.6;0.0;10.2;6.8;32.4;6.8;36.5;28.6;0.0;6.8
29;2.2;0.0;1.5;4.1;7.8;4.1;12.9;3.7;0.0;4.1
30;6.6;10.3;8.4;15.6;8.4;8.4;6.6;43.8;8.4;8.4
31;0.0;0.0;3.0;7.2;19.1;2.1;0.0;0.0;3.8;1.8
32;0.0;13.9;9.2;16.4;16.4;25.6;0.0;0.0;4.6;16.4
33;0.0;4.8;6.7;0.0;0.0;6.7;0.0;0.0;10.8;25.1
34;0.0;4.4;0.0;25.2;12.4;5.2;4.4;0.0;0.0;5.7
35;0.0;8.5;8.0;13.5;4.1;12.6;0.0;19.7;10.6;4.6
