combinacao;soma
[4 CA] - Cartão Amarelo x [3 PI] - Passe Incompleto;14.642572078544303
[5 FC] - Falta Cometida x [3 PI] - Passe Incompleto;2.378326046302389
[5 FC] - Falta Cometida x [4 CA] - Cartão Amarelo;3.1842877608751925
[6 DS] - Desarme x [3 PI] - Passe Incompleto;2.873721177371717
[6 DS] - Desarme x [4 CA] - Cartão Amarelo;4.823303111069778
[6 DS] - Desarme x [5 FC] - Falta Cometida;5.137651710430473
[15 CV] - Cartão Vermelho x [3 PI] - Passe Incompleto;1.4154039881887281
[15 CV] - Cartão Vermelho x [4 CA] - Cartão Amarelo;15.996448938699828
[15 CV] - Cartão Vermelho x [5 FC] - Falta Cometida;9.551846151889206
[15 CV] - Cartão Vermelho x [6 DS] - Desarme;0.5951252737970372
