;0;1;2;3;4;5
0;29.2;8.1;27.6;31.7;27.6;27.6
1;4.6;4.6;52.9;4.6;52.9;65.4
2;-1.7;11.3;4.3;-1.7;41.5;4.3
3;15.5;15.5;59.6;23.5;1.7;1.7
4;64.3;23.9;23.9;16.2;16.2;16.2
5;5.2;17.4;4.5;17.4;4.5;56.3
6;40.3;12.2;12.2;-3.1;0.3;13.0
7;44.4;44.4;44.4;16.0;16.0;16.0
8;-5.6;8.1;32.3;34.4;0.0;9.3
9;1.4;6.7;50.0;-1.2;1.1;6.4
10;-1.2;-1.2;48.4;3.5;4.7;4.7
11;11.2;11.2;56.6;11.2;56.6;56.6
12;9.2;9.2;43.9;0.6;-7.6;-10.4
13;-0.1;3.8;3.9;-0.6;3.9;7.8
14;11.1;15.9;42.7;2.6;-2.2;-2.2
15;0.8;8.4;0.8;6.4;0.0;-2.0
16;6.0;-3.1;11.4;-5.2;11.4;2.1
17;50.1;-2.1;-2.1;50.1;50.1;-2.1
