;0;1;2;3;4;5
0;28.38;28.38;28.38;28.38;28.38;28.38
1;40.77;40.77;40.77;40.77;40.77;40.77
2;33.83;33.83;33.83;33.83;33.83;33.83
3;35.81;35.81;35.81;35.81;35.81;35.81
4;32.79;32.79;32.79;32.79;32.79;32.79
5;35.13;35.13;35.13;35.13;35.13;35.13
6;34.93;34.93;34.93;34.93;34.93;34.93
7;30.49;30.49;30.49;30.49;30.49;30.49
8;35.49;35.49;35.49;35.49;35.49;35.49
9;29.9;29.9;29.9;29.9;29.9;29.9
10;34.83;34.83;34.83;34.83;34.83;34.83
11;29.42;29.42;29.42;29.42;29.42;29.42
12;24.94;24.94;24.94;24.94;24.94;24.94
13;38.64;38.64;38.64;38.64;38.64;38.64
14;34.73;34.73;34.73;34.73;34.73;34.73
15;29.94;29.94;29.94;29.94;29.94;29.94
16;37.44;37.44;37.44;37.44;37.44;37.44
17;32.0;32.0;32.0;32.0;32.0;32.0
