;0;1;2;3;4;5;6;7;8;9
0;0.0;0.0;37.2;17.9;18.8;10.5;0.0;42.9;37.2;18.8
1;0.0;35.2;0.0;8.8;3.7;8.8;40.6;0.0;35.2;8.8
2;32.0;0.0;0.0;-2.0;-2.0;4.3;43.1;40.6;0.0;-2.0
3;34.5;5.0;5.0;1.3;6.0;-3.1;37.6;36.3;5.0;1.3
4;5.0;47.4;5.0;-0.1;6.6;0.1;53.9;5.0;47.6;0.1
5;0.0;0.0;0.0;4.3;5.5;2.0;1.0;5.5;4.9;-0.8
6;5.5;23.9;23.7;26.6;23.7;-0.6;26.6;10.9;36.7;-0.6
7;16.7;0.0;0.0;0.0;3.7;0.0;33.1;20.4;0.0;3.1
8;14.2;23.7;14.2;26.1;18.5;7.8;23.7;14.2;30.7;12.9
9;37.5;0.9;0.9;0.0;11.4;0.0;59.1;38.5;0.9;0.0
10;0.0;7.3;0.0;13.5;5.0;5.0;40.8;0.0;16.2;14.3
11;9.2;27.3;9.2;43.0;9.2;28.8;43.0;9.2;27.8;52.2
12;15.7;27.3;6.6;34.8;15.7;35.6;34.8;15.7;35.6;41.7
13;22.7;6.2;0.0;1.5;1.3;23.4;42.2;27.8;6.2;0.2
14;0.0;0.0;0.0;8.7;1.2;5.5;0.0;0.0;0.0;1.2
15;7.2;10.6;7.2;2.8;4.1;2.8;10.6;7.2;31.0;2.8
16;0.0;0.0;0.0;3.5;6.4;21.3;20.8;0.0;0.0;3.5
17;5.5;0.0;0.0;10.3;14.7;4.8;5.5;5.5;0.0;0.0
