;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104
0;36.4;28.2;27.3;7.0;27.8;35.3;3.0;11.7;65.3;3.0;3.0;12.1;34.2;3.0;37.1;19.2;20.2;29.5;15.4;2.7;11.3;5.1;13.8;15.6;5.1;65.7;49.5;4.8;3.0;11.7;15.6;3.0;58.3;37.1;2.7;17.7;3.0;11.7;15.6;3.0;58.3;37.1;2.7;17.7;65.7;6.4;17.5;57.3;7.1;9.2;30.0;8.5;26.9;9.2;9.2;3.0;11.7;15.6;3.0;58.3;37.1;2.7;17.7;65.7;65.7;9.2;11.6;20.3;24.2;11.6;8.6;8.6;11.3;26.3;8.6;8.6;17.8;8.6;3.0;11.7;65.3;2.5;58.3;37.1;17.1;65.7;58.3;58.3;9.2;58.3;8.6;3.0;11.7;15.6;3.0;58.3;37.1;2.7;17.7;65.7;65.7;9.2;65.7;8.6;58.3
1;7.3;35.3;30.3;6.7;0.6;11.0;16.7;9.3;17.1;1.3;6.7;0.6;11.0;45.5;1.3;34.7;24.1;11.0;7.7;6.1;2.9;24.9;19.3;15.0;28.5;7.9;72.9;32.8;6.7;0.6;6.2;45.7;1.3;82.6;7.7;73.1;6.7;0.6;6.2;45.7;1.3;82.6;7.7;73.1;82.6;25.7;32.9;18.6;4.8;3.1;4.8;9.2;21.6;2.9;2.9;16.8;47.6;29.3;10.1;14.9;10.1;26.0;16.5;10.1;10.1;17.8;24.9;19.3;15.1;22.5;11.4;66.0;26.4;36.9;66.6;66.6;2.9;10.1;6.7;0.6;6.2;45.7;1.3;82.6;7.7;73.1;82.6;82.6;2.9;10.1;66.6;6.7;0.6;6.2;45.7;1.3;82.6;7.7;73.1;82.6;82.6;2.9;10.1;66.6;82.6
2;9.8;9.8;5.4;0.4;4.7;8.5;1.4;5.4;12.5;9.8;33.1;9.2;27.8;1.0;3.8;13.7;7.8;9.3;-1.5;2.4;-1.5;4.4;5.4;12.5;12.5;42.7;3.8;2.4;4.4;5.4;12.5;12.5;42.7;3.8;2.4;89.0;4.4;5.4;12.5;8.7;27.6;3.8;-1.5;63.5;63.5;4.4;5.4;12.5;12.5;42.7;3.8;2.4;89.0;89.0;63.5;24.1;13.8;20.9;31.5;12.4;23.5;3.9;42.5;42.5;31.4;42.5;27.4;15.7;16.8;-0.6;2.5;21.8;3.3;0.9;0.9;0.9;0.9;0.9;4.4;5.4;12.5;12.5;42.7;3.8;2.4;89.0;89.0;63.5;89.0;42.5;0.9;4.4;5.4;12.5;12.5;42.7;3.8;2.4;89.0;89.0;63.5;89.0;42.5;0.9;89.0
3;74.0;4.8;4.8;65.0;65.0;4.8;68.0;68.0;4.8;60.9;28.4;28.4;8.8;22.4;19.6;-0.2;-0.2;6.0;3.1;0.6;5.8;1.6;1.6;16.9;1.6;4.8;9.6;4.7;13.9;13.9;27.6;16.1;27.0;17.4;17.0;18.6;54.7;54.7;15.1;41.4;51.3;12.9;3.1;4.7;23.7;20.4;20.4;6.9;6.5;6.5;14.7;-3.3;22.0;13.9;54.4;74.0;74.0;4.8;65.0;68.0;28.4;-0.2;1.6;13.9;54.7;20.4;-3.9;-3.9;2.4;-3.9;-2.4;-1.5;-2.6;-0.8;11.5;54.7;16.5;-3.9;72.8;72.8;10.2;62.8;65.8;28.4;3.1;1.6;13.9;54.7;20.4;72.8;-3.9;74.0;74.0;4.8;65.0;68.0;28.4;-0.2;1.6;13.9;54.7;20.4;74.0;-3.9;72.8
4;18.8;14.0;14.5;16.0;15.6;3.8;18.5;5.9;4.9;1.8;8.1;15.6;6.1;48.0;1.8;34.0;8.4;10.4;9.4;5.8;9.7;11.5;5.4;3.6;4.6;-0.2;-0.2;20.7;31.1;9.0;26.8;7.2;11.8;7.2;13.8;19.2;18.3;15.6;6.1;20.1;1.8;23.4;3.7;0.8;15.4;16.0;1.8;3.8;49.1;1.8;55.0;12.3;-0.2;7.2;25.7;16.0;1.8;3.8;49.1;1.8;55.0;12.3;-0.2;7.2;25.7;55.1;31.7;11.8;27.8;10.0;11.8;2.8;4.8;15.3;10.0;9.5;2.8;2.8;16.0;1.8;3.8;49.1;1.8;55.0;12.3;-0.2;7.2;25.7;55.1;55.1;2.8;16.0;1.8;3.8;49.1;1.8;55.0;12.3;-0.2;7.2;25.7;55.1;55.1;2.8;55.1
5;3.2;13.3;2.5;13.2;5.4;5.1;11.9;20.1;14.8;5.0;15.1;-5.2;5.1;5.4;11.9;19.2;8.6;24.3;12.3;23.4;12.3;6.9;4.7;12.0;20.1;12.0;6.9;19.2;15.1;-5.2;5.1;5.4;11.9;63.2;12.3;6.9;15.1;-5.2;5.1;5.4;11.9;63.2;12.3;6.9;63.2;11.2;12.9;18.0;17.2;8.5;4.3;16.6;11.2;4.3;4.3;7.2;13.0;13.9;3.9;9.7;-0.8;11.5;15.7;-0.8;-0.8;3.5;17.7;-3.7;8.2;9.3;15.8;0.0;12.3;3.2;0.0;0.0;16.6;-0.8;6.9;-5.2;5.1;5.4;11.9;60.5;12.3;6.9;60.5;60.5;4.3;-0.8;0.0;15.1;-5.2;5.1;5.4;11.9;63.2;12.3;6.9;63.2;63.2;4.3;-0.8;0.0;60.5
6;12.3;31.1;19.1;5.0;-1.6;3.8;16.1;22.0;25.8;4.8;3.9;-1.6;4.2;12.4;6.6;24.9;2.1;10.7;7.6;0.5;8.1;15.8;4.8;19.8;28.2;31.6;0.4;6.9;26.9;9.9;15.7;18.3;5.5;25.3;10.4;11.9;4.1;2.0;4.2;20.7;5.9;35.2;7.9;6.4;0.0;3.9;0.0;4.2;27.0;6.6;38.1;0.5;0.4;11.5;63.9;3.9;0.0;4.2;27.0;6.6;38.1;0.5;0.4;11.5;63.9;78.5;3.9;0.0;4.2;27.0;6.6;38.1;0.5;0.4;11.5;63.9;78.5;78.5;3.9;0.0;4.2;27.0;6.6;36.1;0.5;0.4;11.5;63.9;78.5;78.5;78.5;3.9;0.0;4.2;26.8;6.6;28.3;2.1;0.4;11.5;47.2;75.6;75.6;75.6;75.6
7;8.0;0.5;9.2;13.4;30.0;-1.0;27.1;23.5;12.6;14.7;13.0;32.4;7.4;13.0;12.5;9.7;26.1;9.6;42.9;35.2;28.6;9.9;42.7;17.3;11.5;20.9;22.9;19.6;4.5;20.3;2.0;1.4;22.3;28.1;20.6;12.0;0.0;5.2;-0.1;10.8;8.8;0.5;16.1;9.9;4.5;8.4;14.8;-2.9;11.3;6.1;21.9;6.8;9.2;-0.7;-0.8;13.0;8.0;-0.1;22.9;21.3;13.0;9.7;9.9;4.5;34.1;-2.8;13.0;8.0;-0.1;22.9;21.3;13.0;9.7;9.9;4.5;34.1;-2.8;70.1;13.0;8.0;-0.1;22.9;21.3;13.0;9.7;9.9;4.5;34.1;-2.8;70.1;70.1;13.0;8.0;-0.1;22.9;21.3;13.0;9.7;9.9;4.5;34.1;-2.8;70.1;70.1;70.1
8;20.2;24.6;26.7;16.2;13.6;11.5;14.5;5.6;9.8;9.7;4.9;-1.2;15.4;14.4;3.1;18.0;-2.4;26.3;14.6;6.4;-4.3;4.6;20.8;18.3;1.6;10.5;5.5;12.0;-0.1;-4.5;9.5;0.8;-0.6;0.0;7.3;10.7;4.4;-1.2;9.5;21.9;11.6;25.7;-1.2;5.5;-2.5;4.4;-1.2;9.5;21.9;11.6;25.7;-1.2;5.5;-2.5;74.2;19.2;16.8;27.5;43.5;32.2;25.9;16.8;23.5;23.2;18.0;18.0;1.2;0.0;9.5;0.0;0.0;0.0;-1.2;5.5;-2.5;1.2;1.2;19.2;4.4;-1.2;27.5;19.0;11.6;16.2;16.8;1.4;-2.5;69.8;69.8;18.0;1.2;4.4;-1.2;9.5;21.9;11.6;25.7;-1.2;5.5;-2.5;74.2;74.2;18.0;1.2;69.8
9;4.6;0.0;24.5;5.1;-0.5;0.0;3.3;-1.4;27.8;6.4;5.1;9.7;5.8;0.5;3.3;5.1;6.5;9.7;11.9;11.9;0.0;7.6;32.7;0.0;8.2;22.8;8.3;10.8;9.0;7.4;33.2;3.9;17.7;21.9;23.8;13.2;5.1;-0.5;3.9;8.9;4.2;12.3;0.0;0.0;6.3;29.6;7.0;3.4;-0.2;11.4;12.3;16.5;8.2;10.7;22.0;5.1;4.6;0.0;25.8;0.0;5.1;5.1;5.1;11.1;5.1;31.8;5.1;-0.5;0.0;21.8;16.2;12.3;0.0;0.0;6.0;65.6;26.7;5.1;5.1;-0.5;0.0;21.8;16.2;12.3;11.9;0.0;6.0;65.6;26.7;5.1;79.3;5.1;-0.5;0.0;21.8;16.2;12.3;0.0;0.0;6.0;65.6;26.7;5.1;79.3;79.3
