combinacao;soma
[8 DD] - Defesa Difícil x [3 PI] - Passe Incompleto;0.644557134121371
[6 DS] - Desarme x [3 PI] - Passe Incompleto;0.6993712202777127
[6 DS] - Desarme x [1 FS] - Falta Sofrida;0.7305302025065787
[2 G] - Gol x [0 FF] - Finalização para Fora;0.8191480657625361
[8 DD] - Defesa Difícil x [2 G] - Gol;0.9690019670738336
[3 PI] - Passe Incompleto x [1 FS] - Falta Sofrida;1.0190588180360824
[9 GS] - Gol Sofrido x [1 FS] - Falta Sofrida;1.0812494918862838
[8 DD] - Defesa Difícil x [1 FS] - Falta Sofrida;1.0995428083564078
[4 CA] - Cartão Amarelo x [0 FF] - Finalização para Fora;1.1018429531324192
[5 FC] - Falta Cometida x [3 PI] - Passe Incompleto;1.2495613514487827
[5 FC] - Falta Cometida x [2 G] - Gol;1.298740360512625
[6 DS] - Desarme x [2 G] - Gol;1.4707522521289966
[4 CA] - Cartão Amarelo x [2 G] - Gol;1.524006437920472
[5 FC] - Falta Cometida x [1 FS] - Falta Sofrida;1.5493461378840614
[10 FD] - Finalização Defendida x [7 FT] - Finalização na Trave;1.5580792352972854
[3 PI] - Passe Incompleto x [0 FF] - Finalização para Fora;1.6076099665143029
[12 SG] - Saldo de Gols (sem sofrer gol) x [7 FT] - Finalização na Trave;1.6545036003516544
[10 FD] - Finalização Defendida x [2 G] - Gol;1.6589244063825528
[9 GS] - Gol Sofrido x [0 FF] - Finalização para Fora;1.686366740480984
[9 GS] - Gol Sofrido x [7 FT] - Finalização na Trave;1.7006160687246215
[7 FT] - Finalização na Trave x [2 G] - Gol;1.739009898212781
[12 SG] - Saldo de Gols (sem sofrer gol) x [3 PI] - Passe Incompleto;1.75636127997543
[2 G] - Gol x [1 FS] - Falta Sofrida;1.7887189016361202
[4 CA] - Cartão Amarelo x [1 FS] - Falta Sofrida;1.789245856722491
[14 I] - Impedimento x [1 FS] - Falta Sofrida;1.7997951220006156
[8 DD] - Defesa Difícil x [7 FT] - Finalização na Trave;1.807859288172874
[8 DD] - Defesa Difícil x [0 FF] - Finalização para Fora;1.8525666562175316
[7 FT] - Finalização na Trave x [1 FS] - Falta Sofrida;1.8535929643072488
[10 FD] - Finalização Defendida x [9 GS] - Gol Sofrido;1.9844367343875902
[7 FT] - Finalização na Trave x [3 PI] - Passe Incompleto;1.9999793921123599
