combinacao;soma
[12 SG] - Saldo de Gols (sem sofrer gol) x [1 FS] - Falta Sofrida;0.2732720750954346
[13 A] - Assistência x [3 PI] - Passe Incompleto;0.2838611133233494
[6 DS] - Desarme x [0 FF] - Finalização para Fora;0.28664219564913557
[13 A] - Assistência x [1 FS] - Falta Sofrida;0.2881855655709551
[10 FD] - Finalização Defendida x [3 PI] - Passe Incompleto;0.36655510789674034
[9 GS] - Gol Sofrido x [7 FT] - Finalização na Trave;0.3845166922617824
[6 DS] - Desarme x [3 PI] - Passe Incompleto;0.386710764245325
[6 DS] - Desarme x [5 FC] - Falta Cometida;0.3869276424511745
[13 A] - Assistência x [2 G] - Gol;0.392314413491004
[13 A] - Assistência x [7 FT] - Finalização na Trave;0.4151735832183013
[10 FD] - Finalização Defendida x [1 FS] - Falta Sofrida;0.42936980859903057
[7 FT] - Finalização na Trave x [6 DS] - Desarme;0.4365068341191371
[5 FC] - Falta Cometida x [1 FS] - Falta Sofrida;0.44724024600661744
[10 FD] - Finalização Defendida x [2 G] - Gol;0.4574972208233467
[8 DD] - Defesa Difícil x [2 G] - Gol;0.48174828334220765
[10 FD] - Finalização Defendida x [7 FT] - Finalização na Trave;0.48597045752060153
[8 DD] - Defesa Difícil x [7 FT] - Finalização na Trave;0.4874358004973134
[10 FD] - Finalização Defendida x [8 DD] - Defesa Difícil;0.4942711592455774
[10 FD] - Finalização Defendida x [9 GS] - Gol Sofrido;0.500098554943912
[13 A] - Assistência x [8 DD] - Defesa Difícil;0.5146027582223268
[2 G] - Gol x [1 FS] - Falta Sofrida;0.5214329380939777
[7 FT] - Finalização na Trave x [1 FS] - Falta Sofrida;0.5293419526215817
[8 DD] - Defesa Difícil x [1 FS] - Falta Sofrida;0.547791181337827
[6 DS] - Desarme x [1 FS] - Falta Sofrida;0.5628485803114015
[8 DD] - Defesa Difícil x [0 FF] - Finalização para Fora;0.5946533991865216
[4 CA] - Cartão Amarelo x [3 PI] - Passe Incompleto;0.6220731148964845
[12 SG] - Saldo de Gols (sem sofrer gol) x [3 PI] - Passe Incompleto;0.7859312657020359
[9 GS] - Gol Sofrido x [1 FS] - Falta Sofrida;0.8340226296219497
