;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104
0;7.9;37.0;13.9;14.3;15.2;9.8;9.7;4.4;19.3;14.9;4.3;1.7;9.8;12.9;36.8;3.1;7.9;34.1;10.4;11.7;32.0;26.7;10.3;25.2;20.8;5.9;5.9;20.7;22.7;4.4;19.3;14.9;46.1;36.8;14.8;5.9;22.7;4.4;19.3;14.9;46.1;36.8;14.8;5.9;47.7;18.1;11.4;22.8;21.4;3.5;3.5;26.5;9.4;3.5;3.5;22.7;4.4;19.3;14.9;46.1;36.8;14.8;5.9;47.7;47.7;3.5;6.8;13.2;41.8;21.8;15.7;8.8;30.4;28.4;22.5;22.5;10.3;22.5;22.7;4.4;19.3;14.9;46.1;36.8;11.6;5.9;47.7;47.7;3.5;47.7;22.5;22.7;4.4;19.3;14.9;46.1;36.8;14.8;5.9;47.7;47.7;3.5;47.7;22.5;47.7
1;24.3;21.8;8.4;8.3;0.3;3.0;33.3;12.2;11.8;11.8;8.3;0.3;4.8;40.5;11.8;27.4;13.0;8.3;6.2;20.1;3.5;12.7;13.5;16.6;28.3;8.8;46.1;14.3;8.3;0.3;7.8;43.0;11.8;99.1;6.2;54.5;8.3;0.3;7.8;43.0;11.8;99.1;6.2;54.5;99.1;18.5;15.6;38.8;24.1;10.7;10.2;32.8;26.0;10.2;10.2;19.4;0.5;5.0;13.9;17.2;13.9;17.3;27.1;22.7;22.7;12.3;12.8;5.4;7.2;4.5;30.6;24.4;5.6;70.8;23.8;23.8;15.3;46.9;8.3;0.3;7.8;43.0;11.8;99.1;6.2;54.5;99.1;99.1;10.2;22.7;23.8;8.3;0.3;7.8;43.0;11.8;99.1;6.2;54.5;99.1;99.1;10.2;22.7;23.8;99.1
2;9.5;9.0;-3.3;17.4;-1.9;12.1;3.0;-1.3;1.5;19.8;18.6;-6.3;5.7;0.0;0.0;1.9;-2.4;-2.0;-0.7;-1.1;-1.4;3.0;-1.3;1.5;19.8;52.9;0.0;-1.1;3.0;-1.3;1.5;19.8;52.9;0.0;-1.1;76.0;3.0;-1.3;1.5;11.5;45.0;0.0;-1.1;72.2;72.2;3.0;-1.3;1.5;19.8;52.9;0.0;-1.1;76.0;76.0;72.2;29.8;-1.9;2.4;3.3;26.5;3.9;7.0;45.2;45.2;45.2;45.2;4.8;3.1;3.3;0.0;15.2;0.0;3.5;1.8;1.8;1.8;1.8;4.4;3.0;-1.3;1.5;19.8;52.9;0.0;-1.1;76.0;76.0;72.2;76.0;45.2;1.8;3.0;-1.3;1.5;19.8;52.9;0.0;-1.1;76.0;76.0;72.2;76.0;45.2;1.8;76.0
3;69.7;7.0;7.0;54.4;54.4;7.0;56.8;56.8;8.5;38.2;11.7;11.7;11.1;2.0;11.7;9.4;9.4;31.8;9.4;9.7;0.0;2.4;2.4;11.0;2.4;0.5;0.5;5.1;4.9;4.9;18.8;4.9;7.1;5.3;14.8;5.8;51.4;51.4;9.7;44.7;31.2;6.1;-0.3;3.3;8.8;16.7;16.7;7.0;16.7;9.7;12.1;9.7;14.3;12.3;12.1;69.7;69.7;7.0;54.4;56.8;11.7;9.4;2.4;4.9;51.4;16.7;-5.5;-5.5;1.5;-5.5;0.0;11.7;9.4;2.4;4.9;-5.5;11.2;-5.5;69.1;69.1;7.0;47.8;51.5;11.2;-0.3;1.9;4.9;51.4;7.0;69.1;-5.5;69.7;69.7;7.0;54.4;56.8;11.7;9.4;2.4;4.9;51.4;16.7;69.7;-5.5;69.1
4;12.1;27.9;18.0;11.4;0.7;5.9;21.0;0.8;18.8;2.8;24.0;0.0;5.9;37.7;2.8;17.6;13.4;7.2;6.2;1.7;4.9;29.9;31.8;25.4;8.9;35.1;8.9;10.6;11.4;12.1;10.4;10.8;3.1;-0.6;-2.7;20.3;11.4;0.7;5.9;44.9;2.8;43.7;6.2;7.9;10.3;11.4;0.7;5.9;47.7;2.8;62.3;6.2;7.9;10.8;55.2;11.4;0.7;5.9;47.7;2.8;62.3;6.2;7.9;10.8;55.2;70.0;17.9;17.5;12.4;-1.4;2.8;-3.9;15.8;6.5;20.4;-1.4;-1.4;-1.4;11.4;0.7;5.9;47.7;2.8;62.3;6.2;7.9;10.8;55.2;70.0;70.0;-1.4;11.4;0.7;5.9;47.7;2.8;62.3;6.2;7.9;10.8;55.2;70.0;70.0;-1.4;70.0
5;6.0;19.3;15.2;23.0;26.9;23.8;11.9;6.3;22.1;0.0;6.0;8.3;13.3;10.8;0.0;6.0;6.4;18.1;2.9;5.9;0.0;9.6;4.0;20.9;13.1;15.9;3.2;8.0;6.0;8.3;13.3;10.8;0.0;67.1;0.0;3.2;6.0;8.3;13.3;10.8;0.0;67.1;0.0;3.2;67.1;9.0;3.0;27.1;5.9;5.4;3.0;8.7;6.2;3.0;3.0;5.4;9.4;18.7;-0.6;0.3;-0.6;1.6;3.1;-0.6;-0.6;8.9;8.8;12.2;20.9;13.6;2.8;2.8;2.8;10.8;2.8;2.8;5.8;2.2;6.0;8.3;13.3;10.8;0.0;67.1;0.0;3.2;67.1;67.1;3.0;-0.6;2.8;6.0;8.3;13.3;10.8;0.0;67.1;0.0;3.2;67.1;67.1;3.0;-0.6;2.8;67.1
6;23.7;9.6;21.6;27.6;9.9;17.9;17.3;9.9;38.8;16.9;8.0;15.5;1.6;27.8;19.9;10.2;15.2;6.9;3.9;1.2;2.0;12.8;25.2;28.3;8.0;36.9;3.2;8.5;8.2;18.8;4.9;23.3;15.4;3.3;5.3;35.7;5.2;9.2;1.6;26.6;19.3;30.6;2.4;3.2;12.1;4.9;9.9;1.6;52.3;29.2;38.6;2.0;3.2;3.3;79.5;4.9;9.9;1.6;52.3;29.2;38.6;2.0;3.2;3.3;79.5;96.5;7.5;12.5;4.2;2.6;30.3;2.6;4.6;5.8;5.9;79.5;2.6;2.6;4.9;9.9;1.6;52.3;29.2;38.6;2.0;32.4;3.3;79.5;96.5;96.5;2.6;4.9;15.5;9.1;46.6;19.9;38.6;2.0;3.2;3.3;61.9;82.1;82.1;2.6;82.1
7;7.3;3.4;8.3;-1.8;3.4;4.2;0.9;10.6;1.6;5.6;-1.8;22.9;11.2;2.5;0.3;11.6;5.7;8.3;21.3;16.3;20.0;15.5;12.9;24.5;23.7;27.0;18.8;12.9;11.6;21.1;13.5;26.1;11.9;14.7;39.8;19.1;-0.7;5.7;2.6;15.9;5.9;2.8;5.7;7.2;24.6;7.4;14.1;18.3;11.2;10.3;13.1;14.1;21.3;20.3;8.4;-0.7;6.5;4.2;15.9;5.9;2.8;20.7;7.2;11.9;43.6;8.4;-0.7;6.5;4.2;15.9;5.9;2.8;20.7;7.2;11.9;43.6;8.4;68.8;-0.7;6.5;4.2;15.9;5.9;2.8;20.7;7.2;11.9;43.6;8.4;68.8;68.8;-0.7;6.5;4.2;15.9;5.9;2.8;20.7;7.2;11.9;43.6;8.4;68.8;68.8;68.8
8;1.0;29.3;25.5;3.7;-1.8;33.7;3.6;-1.8;40.9;5.2;2.8;-3.8;18.5;15.1;10.8;8.0;4.2;19.3;6.4;5.2;5.2;5.5;5.8;14.0;10.0;2.4;0.3;16.8;2.7;-3.8;31.0;-4.1;0.0;-3.8;5.4;-1.8;4.5;-3.8;11.3;37.5;10.8;39.6;5.2;-0.1;-3.8;4.5;-3.8;11.3;37.5;10.8;39.6;5.2;-0.1;-3.8;77.4;2.8;1.0;14.1;29.2;26.7;2.8;8.0;14.0;2.4;23.9;23.9;3.0;-5.3;11.6;0.0;10.8;0.0;5.2;0.2;-5.3;0.0;0.0;23.9;4.5;-3.8;26.5;37.5;10.8;33.7;5.2;-0.1;-3.8;74.1;74.1;23.9;0.0;4.5;-3.8;11.3;37.5;10.8;39.6;5.2;-0.1;-3.8;77.4;77.4;23.9;0.0;74.1
9;4.2;12.1;4.5;12.4;14.6;1.5;22.0;2.7;2.9;27.0;1.5;4.2;4.2;12.5;4.6;1.2;3.9;2.1;6.3;-0.8;-0.3;8.8;3.0;4.5;2.4;2.1;0.3;-0.7;28.7;34.7;37.7;31.3;29.6;27.4;16.1;20.9;1.5;2.7;1.5;30.9;30.1;23.0;-0.3;-0.5;19.3;5.8;5.7;7.1;1.0;45.4;1.0;6.3;12.2;23.2;1.0;1.5;-0.2;1.5;40.7;-3.2;-3.2;-3.5;-0.3;13.3;-3.2;2.1;10.7;12.2;2.5;45.3;39.9;1.0;0.7;3.9;17.5;1.0;6.3;-2.2;1.5;3.0;1.5;39.0;38.2;23.0;-0.3;2.9;16.5;63.9;5.3;-3.2;1.0;1.5;3.0;1.5;40.7;39.9;23.0;-0.3;2.9;16.5;63.9;5.3;-3.2;1.0;84.3
10;5.5;3.3;5.5;3.3;-0.1;0.0;17.5;8.4;9.0;3.1;3.3;-0.1;0.0;30.5;3.1;3.3;6.1;3.3;3.3;3.1;8.7;3.2;-0.1;-1.6;-0.1;1.7;-0.1;4.7;5.0;12.8;8.7;5.4;13.0;5.4;5.4;-1.1;6.5;5.3;12.6;17.7;1.0;22.3;7.1;0.5;6.8;3.3;12.5;3.3;0.2;13.6;0.2;3.3;-4.7;8.7;11.7;3.3;-0.1;0.0;30.5;3.1;68.6;8.7;-0.1;5.4;22.3;0.2;3.3;-0.1;0.0;30.5;3.1;68.6;8.7;-0.1;5.4;22.3;0.2;68.6;3.3;-0.1;0.0;30.5;3.1;55.8;3.3;-0.1;1.7;22.3;0.2;55.8;55.8;3.3;-0.1;0.0;30.5;3.1;68.6;8.7;-0.1;5.4;22.3;0.2;68.6;68.6;55.8
