combinacao;soma
[12 SG] - Saldo de Gols (sem sofrer gol) x [5 FC] - Falta Cometida;1.338880944874797
[13 A] - Assistência x [1 FS] - Falta Sofrida;1.4351512411638985
[12 SG] - Saldo de Gols (sem sofrer gol) x [2 G] - Gol;1.4927379414298017
[12 SG] - Saldo de Gols (sem sofrer gol) x [1 FS] - Falta Sofrida;1.4967541797283168
[13 A] - Assistência x [2 G] - Gol;1.5442511192511184
[5 FC] - Falta Cometida x [2 G] - Gol;1.624927277308229
[2 G] - Gol x [1 FS] - Falta Sofrida;1.709660983735057
[3 PI] - Passe Incompleto x [1 FS] - Falta Sofrida;1.7415072805981888
[13 A] - Assistência x [5 FC] - Falta Cometida;1.8362425231103858
[3 PI] - Passe Incompleto x [2 G] - Gol;2.1655463870265304
[5 FC] - Falta Cometida x [3 PI] - Passe Incompleto;2.601169113648723
[5 FC] - Falta Cometida x [1 FS] - Falta Sofrida;2.6162285639235994
[13 A] - Assistência x [3 PI] - Passe Incompleto;3.047561297032382
[12 SG] - Saldo de Gols (sem sofrer gol) x [3 PI] - Passe Incompleto;3.361261092363454
[13 A] - Assistência x [12 SG] - Saldo de Gols (sem sofrer gol);4.1549486067614225
